Local time,Open,High,Low,Close,Volume
12.01.2024 05:30:00.000 GMT+0530,185.997,186.726,185.176,185.857,723.156
14.01.2024 05:30:00.000 GMT+0530,185.857,185.857,185.857,185.857,0
16.01.2024 05:30:00.000 GMT+0530,182.086,184.237,180.286,182.647,1425.636
18.01.2024 05:30:00.000 GMT+0530,186.007,191.937,185.826,191.546,1366.0800000000002
20.01.2024 05:30:00.000 GMT+0530,191.546,191.546,191.546,191.546,0
22.01.2024 05:30:00.000 GMT+0530,192.257,195.707,192.257,195.136,1146.9
24.01.2024 05:30:00.000 GMT+0530,195.436,196.347,193.096,194.156,1331.676
26.01.2024 05:30:00.000 GMT+0530,194.147,194.747,191.936,192.336,649.9200000000001
28.01.2024 05:30:00.000 GMT+0530,192.017,192.186,189.557,191.776,536.76
30.01.2024 05:30:00.000 GMT+0530,190.806,191.797,184.496,184.496,1636.02
01.02.2024 05:30:00.000 GMT+0530,183.886,187.236,179.226,185.816,1812.3959999999995
03.02.2024 05:30:00.000 GMT+0530,185.816,185.816,185.816,185.816,0
05.02.2024 05:30:00.000 GMT+0530,188.146,189.287,185.847,189.277,1411.0439999999983
07.02.2024 05:30:00.000 GMT+0530,190.647,190.996,187.336,188.326,1008.5039999999993
09.02.2024 05:30:00.000 GMT+0530,188.667,189.977,187.996,188.776,408.3840000000016
11.02.2024 05:30:00.000 GMT+0530,188.396,188.647,186.776,187.187,550.9920000000005
13.02.2024 05:30:00.000 GMT+0530,185.806,186.176,182.417,184.037,1474.248000000003
15.02.2024 05:30:00.000 GMT+0530,183.437,184.837,181.426,182.276,1351.9799999999984
17.02.2024 05:30:00.000 GMT+0530,182.276,182.276,182.276,182.276,0
